,Bifidobacterium_dentium,Butyricimonas_synergistica,Parvibacter_caecicola,Clostridium_sartagoforme,Ruminococcus_gauvreauii,Bacteroides_stercoris,Bacteroides_plebeius,Streptococcus_parasanguinis,Enterococcus_rivorum,Clostridium_methylpentosum,Escherichia.Shigella_flexneri,Subdoligranulum_variabile,Clostridium_ruminantium,Paraprevotella_clara,Bacteroides_pectinophilus,Clostridium_disporicum,Adlercreutzia_equolifaciens,Bacteroides_eggerthii,Ruminococcus_bromii,Finegoldia_magna,Bacteroides_acidifaciens,Prevotella_stercorea,Bacillus_pumilus,Bacteroides_uniformis,Denitrobacterium_detoxificans,Atopobium_parvulum,Clostridium_glycolicum,Roseburia_intestinalis,Parabacteroides_distasonis,Streptococcus_suis,Coprobacter_fastidiosus,Slackia_exigua,Clostridium_scindens,Blautia_schinkii,Lactobacillus_salivarius,Clostridium_aminobutyricum,Enterococcus_mundtii,Anaerostipes_butyraticus,Enterobacter_mori,Acidaminococcus_intestini,Lactobacillus_delbrueckii,Sutterella_wadsworthensis,Methanobrevibacter_smithii,Eubacterium_siraeum,Abiotrophia_defectiva,Solobacterium_moorei,Anaerostipes_hadrus,Alloscardovia_omnicolens,Dialister_succinatiphilus,Anaerosporobacter_mobilis,Eubacterium_hallii,Eubacterium_ruminantium,Ruminococcus_flavefaciens,Blautia_glucerasea,Collinsella_aerofaciens,Clostridium_quinii,Oscillibacter_valericigenes,Blautia_stercoris,Clostridium_perfringens,Parabacteroides_goldsteinii,Melissococcus_plutonius,Enterococcus_faecium,Parabacteroides_merdae,Gemmiger_formicilis,Lactobacillus_casei,Clostridium_islandicum,Catabacter_hongkongensis,Oscillospira_guilliermondii,Phascolarctobacterium_faecium,Flavonifractor_plautii,Streptococcus_thermophilus,Clostridium_bifermentans,Fusicatenibacter_saccharivorans,Sutterella_stercoricanis,Lactobacillus_crispatus,Lactobacillus_animata,Parabacteroides_johnsonii,Desulfovibrio_fairfieldensis,Barnesiella_intestinihominis,Clostridium_propionicum,Lactobacillus_plantarum,Christensenella_minuta,Butyrivibrio_crossotus,Dorea_longicatena,Streptococcus_sanguinis,Clostridium_fimetarium,Actinomyces_graevenitzii,Anaerostipes_caccae,Roseburia_inulinivorans,Pseudoflavonifractor_capillosus,Coprobacillus_cateniformis,Lactobacillus_fermentum,Bacteroides_vulgatus,Clostridium_viride,Erwinia_psidii,Streptococcus_mutans,Eubacterium_contortum,Veillonella_parvula,Actinomyces_odontolyticus,Actinomyces_lingnae,Clostridium_irregulare,Parvimonas_micra,Stomatobaculum_longum,Acetanaerobacterium_elongatum,Coprococcus_eutactus,Bacteroides_graminisolvens,Clostridium_nexile,Bifidobacterium_bifidum,Collinsella_tanakaei,Peptostreptococcus_stomatis,Clostridium_aldenense,Bacteroides_finegoldii,Blautia_luti,Rothia_dentocariosa,Bacteroides_cellulosilyticus,Klebsiella_pneumoniae,Bacteroides_ovatus,Streptococcus_salivarius,Howardella_ureilytica,Anaerofilum_pentosovorans,Bacteroides_dorei,Clostridium_lactatifermentans,Gemella_sanguinis,Clostridium_tertium,Atopobium_rimae,Escherichia.Shigella_coli,Dialister_propionicifaciens,Lactobacillus_gasseri,Butyricicoccus_pullicaecorum,Lactobacillus_oris,Bifidobacterium_pseudocatenulatum,Escherichia.Shigella_sonnei,Lactococcus_lactis,Streptococcus_gordonii,Ruminococcus_callidus,Alistipes_indistinctus,Clostridium_lituseburense,Papillibacter_cinnamivorans,Clostridium_lavalense,Rothia_mucilaginosa,Oxalobacter_formigenes,Phascolarctobacterium_succinatutens,Clostridium_spiroforme,Ruminococcus_gnavus,Clostridium_bartlettii,Blautia_hydrogenotrophica,Eubacterium_infirmum,Ruminococcus_champanellensis,Lachnospira_pectinoschiza,Lactobacillus_helveticus,Clostridium_fusiformis,Clostridium_cellulosi,Bacteroides_nordii,Lactobacillus_paracasei,Blautia_faecis,Parasutterella_excrementihominis,Actinomyces_naeslundii,Ruminococcus_torques,Clostridium_oroticum,Scardovia_wiggsiae,Eubacterium_oxidoreducens,Bacteroides_caccae,Eubacterium_dolichum,Clostridium_glycyrrhizinilyticum,Anaerorhabdus_furcosa,Clostridium_leptum,Holdemania_filiformis,Veillonella_dispar,Alistipes_senegalensis,Alistipes_finegoldii,Bifidobacterium_longum,Enterococcus_durans,Hydrogenoanaerobacterium_saccharovorans,Alistipes_onderdonkii,Gordonibacter_pamelaeae,Clostridium_innocuum,Clostridium_saccharogumia,Bacteroides_coprocola,Clostridium_cadaveris,Desulfovibrio_piger,Enterococcus_hirae,Catenibacterium_mitsuokai,Blautia_wexlerae,Acetivibrio_ethanolgignens,Escherichia.Shigella_dysenteriae,Eubacterium_ventriosum,Streptococcus_equinus,Enterococcus_asini,Clostridium_thermocellum,Clostridium_hathewayi,Parasporobacterium_paucivorans,Prevotella_copri,Bacteroides_massiliensis,Ruminococcus_albus,Bacteroides_xylanisolvens,Clostridium_citroniae,Allisonella_histaminiformans,Lactonifactor_longoviformis,Streptococcus_anginosus,Eubacterium_desmolans,Dialister_invisus,Saccharofermentans_acetigenes,Hespellia_porcina,Ruminococcus_obeum,Photorhabdus_luminescens,Escherichia.Shigella_boydii,Actinomyces_massiliensis,Faecalibacterium_prausnitzii,Turicibacter_sanguinis,Bifidobacterium_breve,Marvinbryantia_formatexigens,Clostridium_clostridioforme,Corynebacterium_durum,Ruminococcus_lactaris,Bifidobacterium_adolescentis,Haemophilus_parainfluenzae,Staphylococcus_epidermidis,Akkermansia_muciniphila,Clostridium_hylemonae,Lactobacillus_johnsonii,Clostridium_asparagiforme,Alistipes_putredinis,Enterococcus_faecalis,Sporobacter_termitidis,Bacteroides_intestinalis,Bilophila_wadsworthia,Eubacterium_fissicatena,Peptoclostridium_difficile,Eggerthella_lenta,Citrobacter_freundii,Clostridium_hiranonis,Butyricimonas_virosa,Bifidobacterium_pseudolongum,Clostridium_polysaccharolyticum,Eubacterium_ramulus,Eubacterium_eligens,Coprococcus_comes,Odoribacter_splanchnicus,Roseburia_hominis,Eubacterium_cylindroides,Coprococcus_catus,Olsenella_uli,Lactobacillus_rhamnosus,Anaerofustis_stercorihominis,Bacteroides_fragilis,Oribacterium_sinus,Dorea_formicigenerans,Blautia_producta,Megasphaera_micronuciformis,Eubacterium_biforme,Clostridium_indolis,Intestinimonas_butyriciproducens,Eubacterium_rectale,Clostridium_paraputrificum,Clostridium_ramosum,Alistipes_shahii,Roseburia_faecis,Bifidobacterium_animalis,Bacteroides_thetaiotaomicron,Clostridium_sporosphaeroides,Clostridium_symbiosum,Eubacterium_coprostanoligenes,Butyrivibrio_fibrisolvens,Natranaerovirga_pectinivora,Robinsoniella_peoriensis,Anaerotruncus_colihominis,Lactobacillus_sakei,Eubacterium_xylanophilum,Slackia_isoflavoniconvertens,Alistipes_massiliensis,Veillonella_atypica,Enterococcus_casseliflavus,Olsenella_profusa,Lactobacillus_reuteri,Peptococcus_niger
AIIDB0330,2.48490665,2.197224577,0,0,3.33220451,7.753623547,0,4.442651256,0,4.919980926,0,5.905361848,7.062191632,3.526360525,1.791759469,6.190315406,1.791759469,6.716594774,10.18523958,2.48490665,0.6931471806,0,0,7.708859601,1.098612289,2.079441542,2.995732274,1.609437912,7.534228326,0.6931471806,6.161207322,0.6931471806,2.708050201,3.713572067,0.6931471806,2.197224577,0,0,0,1.945910149,1.098612289,1.098612289,5.648974238,5.327876169,1.609437912,5.257495372,4.663439094,0,0,1.098612289,4.812184355,0,3.891820298,2.48490665,8.637107288,0,4.343805422,0,4.736198448,0,0,0,6.054439346,8.686767175,3.401197382,2.995732274,2.833213344,3.401197382,8.127109185,6.115892125,8.440744019,1.098612289,3.218875825,0,0.6931471806,0,0,0,6.09356977,1.098612289,0,4.189654742,0.6931471806,4.828313737,4.532599493,0,2.772588722,0,4.219507705,4.382026635,0.6931471806,6.586171655,9.729550745,0,0,4.65396035,1.098612289,0,4.043051268,3.891820298,0,0,1.386294361,3.931825633,6.981005741,0.6931471806,0,0,1.098612289,3.295836866,3.951243719,0,6.308098442,0,5.560681631,0,4.912654886,2.944438979,4.465908119,1.945910149,0.6931471806,0.6931471806,0,0,0,5.886104031,0,1.386294361,0.6931471806,0,0,0,0,0.6931471806,0,6.489204931,3.761200116,6.385194399,3.17805383,0,0,0,0,7.816013839,3.526360525,1.386294361,2.48490665,1.098612289,0,0,0,1.791759469,2.63905733,1.098612289,5.332718793,0,0,5.780743516,0.6931471806,1.791759469,0.6931471806,8.301273485,5.762051383,2.302585093,0,5.327876169,3.610917913,0,0,0.6931471806,0,0,2.302585093,5.370638028,1.098612289,5.666426688,0,7.636269603,1.098612289,1.609437912,0,0.6931471806,1.098612289,0.6931471806,0,6.616065185,1.609437912,0,2.772588722,6.37502482,0,1.098612289,6.444131257,2.944438979,1.098612289,1.609437912,0,0,4.521788577,5.683579767,0,0.6931471806,1.791759469,7.249925537,0,0,1.609437912,7.830822995,0,0,0,1.098612289,0.6931471806,1.386294361,0,1.386294361,0,9.938323667,6.814542897,4.454347296,0,6.115892125,2.708050201,4.927253685,2.708050201,5.963579344,0,3.401197382,1.945910149,3.583518938,0.6931471806,6.999422468,0,0,6.349138991,6.246106765,6.133398043,4.290459441,2.079441542,2.890371758,5.857933154,0,0.6931471806,2.995732274,0,4.753590191,4.382026635,0,0,0,0,6.135564891,6.476972363,1.098612289,7.153051635,6.378426184,4.510859507,0.6931471806,4.882801923,4.94875989,3.912023005,8.846353043,2.302585093,0.6931471806,0,7.163946684,0,2.890371758,5.525452939,5.170483995,1.098612289,0,1.609437912,4.418840608,0
AIIDM0042,0,0,0,0,0,0,0,0,0.6931471806,0.6931471806,0,0,0,0,0,0,0,0,0,0,2.772588722,0,0,4.605170186,0,0,0,0,0.6931471806,0,0,0,0,1.945910149,0,0,1.098612289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471806,0,0,0,0,0,0,0,4.744932128,0.6931471806,0.6931471806,1.386294361,0,0,0,4.382026635,4.262679877,3.688879454,0,0,0,0,0,0,0,0,0,0,0,0.6931471806,2.079441542,0,0,0,4.143134726,0,0,0,0,9.886137914,0,0,0,0,0,0,1.791759469,0,0,0,0,0,0,0,0,0,0,2.079441542,0,5.857933154,0,0,0,8.874308039,0,0,0,1.386294361,0,0,0,0,0.6931471806,0,0,0,0,0,0,0,0,0,0,0,0,0,2.302585093,0,0,0,7.670894831,0,0,0,0,0,0,0,0,0,0.6931471806,0,1.386294361,0,4.304065093,0,0,0,0,0,0,2.397895273,1.945910149,0,0,0,0,1.609437912,2.197224577,0,0,0,5.247024072,0,0,0,0,0,0,1.386294361,0,0,0,0,0,0,0,0,0,0,0,3.36729583,0,0,0,0,3.465735903,0,0,0,1.098612289,0,0,0,7.765569081,0,0,0,3.36729583,0,0,0,0,0,0,0,0,0,0,2.48490665,0,0,0,0,0,2.995732274,0,0,0,0,1.945910149,1.098612289,0,0,0,0,0,3.828641396,0,1.098612289,0,1.791759469,1.945910149,0,0,0,0,0,0,0,0,2.833213344,0,0,1.386294361,6.335054251,1.386294361,4.615120517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIIDM0318,0,0,0,0,0,0,0,0,0,3.258096538,0,0.6931471806,1.098612289,0,0,5.379897354,0,0,6.741700695,0,2.833213344,0,0.6931471806,0,0,0,6.997595983,0,0,0,6.972606251,0,0.6931471806,0.6931471806,0,0,0,0,1.791759469,0,0,0,0,0,4.382026635,1.609437912,0.6931471806,0,0,6.059123196,5.986452005,0,0,2.48490665,0.6931471806,0,0,0,0,0,0,1.386294361,1.386294361,1.098612289,3.931825633,0,0.6931471806,0,0,2.079441542,5.420534999,0,0,0,0.6931471806,0,0,0,0,0,0.6931471806,0,0,1.386294361,3.33220451,0,0,2.197224577,0,2.63905733,0,0,6.196444128,0,0,0,3.610917913,6.139884552,3.988984047,3.091042453,0,0,0,2.397895273,0,0,6.300785795,0,0,0,0,0,0,1.098612289,0.6931471806,3.433987204,2.197224577,0,1.098612289,0,9.715047315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.828641396,1.098612289,0,0,4.234106505,0,0,4.744932128,9.594105053,5.902633333,1.791759469,0,0,0,2.944438979,0,1.609437912,0,1.098612289,6.647688374,0,1.098612289,4.33073334,0,0,0,0,0,0,0,4.077537444,0,8.975377244,0,7.035268599,0,0,4.262679877,2.079441542,0,7.619724214,3.218875825,0,6.253828812,0,0,0,2.708050201,0,0,0,0,0,0,0,0,1.098612289,0,0,0,0,0,4.605170186,2.302585093,5.267858159,0,0,0,2.48490665,0,0,0,9.375346207,3.135494216,0,0,4.615120517,0,0.6931471806,0,0,0,1.098612289,6.269096284,0,0.6931471806,8.095598701,0,0,0,0,0,2.995732274,5.616771098,0,0.6931471806,0,0,0,2.48490665,7.628031127,2.564949357,0,0,0.6931471806,0,0,3.218875825,0,8.533066541,0,0,1.791759469,1.098612289,0,4.043051268,0,0.6931471806,5.087596335,4.96284463,0.6931471806,0,1.945910149,8.13270649,2.079441542,0,0,0,0,2.833213344,0,0,0,0,0.6931471806,3.761200116,0,0,0,0
AIIDV1015,0.6931471806,0,0,0.6931471806,1.609437912,0,0,0,0,0.6931471806,0,3.401197382,5.59471138,1.945910149,0,4.043051268,1.609437912,0,6.768493212,0,0,0,0,4.828313737,0.6931471806,0,1.609437912,2.63905733,0.6931471806,0,0,0,0.6931471806,2.197224577,0,0,0,0,0,0,0,0,0,3.295836866,0,0,6.728628613,0,0,0,5.831882477,0,1.609437912,0.6931471806,6.109247583,0,1.386294361,0,0,0,0,0,3.091042453,6.042632834,0,0,0,3.80666249,0,3.091042453,1.098612289,1.098612289,6.035481433,0,0,0,0,0,3.871201011,0,0,0,0,5.82008293,0,0,0,0,5.017279837,0,0,0,4.143134726,0,0,0,0,0,2.197224577,0,0,0,0,0,5.860786223,0,0,5.743003188,0,0,0.6931471806,0,6.695798917,0,1.386294361,0,3.433987204,0,2.833213344,0,2.890371758,0,0,0,0,2.302585093,0,0,0,0,3.218875825,0,0,0,5.123963979,0,1.945910149,0,0,0,0,4.317488114,3.401197382,0.6931471806,5.192956851,0,0,2.302585093,0,0,0,0,0,0,4.736198448,1.609437912,0,5.446737372,0,0.6931471806,0,2.079441542,0,0,0,0,1.098612289,0,1.609437912,0,6.876264612,0,0,0.6931471806,0,0,0,0,0.6931471806,0,0,8.149312844,1.791759469,0.6931471806,0,4.691347882,0,0,1.386294361,0,0,0,0,3.688879454,0,0,0,0,0,4.615120517,0,0,0,5.192956851,0,0,0,8.783855897,1.386294361,1.791759469,0,0.6931471806,0,0,3.583518938,0,0,0.6931471806,1.609437912,0,0,4.795790546,0,1.098612289,0,0,0,1.945910149,0,0,1.386294361,0,0,0,4.094344562,3.555348061,5.272999559,0,1.791759469,0,4.584967479,0,0,0,0,0,5.003946306,0,0,5.010635294,0,2.079441542,8.382747095,0,0,2.197224577,4.890349128,0,0,0,0,0.6931471806,1.945910149,0,0,0,0,1.791759469,3.583518938,0.6931471806,0,0,0.6931471806,0,0
AIIDV1406,0,0,0,0,2.564949357,0,0,0,0,2.079441542,0,0.6931471806,6.202535517,0,0,6.063785209,0,0,0,0,0,0,0,0,0,0,4.691347882,4.110873864,1.386294361,0,0,0,5.590986981,3.912023005,7.228388452,0,0,1.098612289,0,0,2.564949357,0,0,0,0,0,6.959398512,0,0,0,6.693323668,0,0,7.920809679,7.100027167,1.609437912,0,0,0,0,0,0,0,0.6931471806,3.891820298,0,0,0,0,1.945910149,7.25981961,1.098612289,0,0,0,1.098612289,0,0,0,0,0,0,0,0,0,0,0,0,3.713572067,0,3.465735903,2.63905733,0,0,0,6.265301213,0,1.098612289,2.833213344,0,0,0,0,0,0,0,3.951243719,0,0,0,0,0,0,1.609437912,0,0,0,1.386294361,0,0,0,0,0,0,0.6931471806,6.003887067,0,3.891820298,0,0,0,0,0,0,0,0,2.397895273,0,0,0.6931471806,0,0,6.167516491,8.164225652,3.496507561,6.061456919,0,0,0,1.609437912,0.6931471806,0,0,1.098612289,0,0,0,6.891625897,0,0,0,0,0,3.891820298,0,3.091042453,1.609437912,1.791759469,0,0,6.163314804,0,0,0,2.397895273,4.454347296,0,0,6.200509174,0,0,0,0,0,0,0,0.6931471806,0,2.302585093,0,0,0,0,0,0,2.079441542,0,3.688879454,0,2.833213344,0,0,0,5.590986981,0,0,0,2.197224577,3.218875825,0,0.6931471806,0,0,1.791759469,0,0,0,0,6.230481448,2.772588722,0,0,2.564949357,0,0,0,1.609437912,2.708050201,0,0,0.6931471806,0,1.609437912,0,2.079441542,2.397895273,2.63905733,0,0,0,4.615120517,0,2.944438979,2.197224577,0,0,0,1.791759469,0,0,0,0,4.86753445,0,6.335054251,0,1.791759469,4.762173935,0,2.079441542,0.6931471806,0,0,0,2.079441542,0,0,0,0,0,0,0,0,0,0
COVIRL-201-028,0,0,0,2.708050201,5.583496309,1.098612289,1.791759469,1.791759469,0,6.272877007,0.6931471806,4.025351691,9.918671688,0.6931471806,0,8.689127655,0.6931471806,0,11.42560131,3.610917913,1.386294361,2.890371758,0,2.302585093,0,2.944438979,4.465908119,3.610917913,1.098612289,0.6931471806,0,0,7.74543561,4.382026635,0,0.6931471806,0,3.17805383,0,0,0,0,0,7.747164967,0,0.6931471806,3.295836866,2.48490665,2.397895273,1.791759469,6.790097236,3.091042453,3.135494216,11.20914111,2.63905733,4.615120517,5.59471138,3.17805383,0.6931471806,0,0,2.302585093,2.397895273,3.610917913,0,0,1.791759469,4.553876892,0.6931471806,9.329988334,7.29301768,3.663561646,2.564949357,0,1.098612289,0.6931471806,0,0,0,0,2.079441542,5.303304908,1.386294361,5.666426688,1.945910149,2.63905733,5.068904202,5.587248658,1.386294361,8.911934336,5.455321115,5.087596335,2.564949357,1.609437912,0.6931471806,3.663561646,5.117993812,5.966146739,5.966146739,2.397895273,3.871201011,0,0.6931471806,2.708050201,4.663439094,0,6.142037406,0.6931471806,0.6931471806,0,6.059123196,0.6931471806,3.401197382,1.609437912,0,0,2.197224577,1.791759469,0.6931471806,0,1.791759469,0,0,2.890371758,1.609437912,7.247792582,2.63905733,1.609437912,0.6931471806,0,0.6931471806,0,3.761200116,0.6931471806,1.386294361,0.6931471806,5.541263545,1.098612289,1.098612289,2.564949357,0,2.397895273,8.502079554,8.896998553,9.78290059,4.043051268,0.6931471806,0,2.564949357,0,1.945910149,4.779123493,0,0,2.833213344,0.6931471806,2.833213344,6.549650742,5.257495372,0,3.044522438,0,0,0.6931471806,0,7.510430556,8.305731145,5.894402834,0,1.098612289,5.209486153,0,3.713572067,0,0,10.22560728,4.955827058,0,4.317488114,0,0,1.945910149,1.609437912,1.386294361,0,1.098612289,0,0,3.988984047,4.753590191,1.386294361,4.369447852,1.386294361,3.044522438,0,1.386294361,0,5.278114659,2.833213344,5.030437921,9.316590492,0,2.197224577,5.347107531,0,0.6931471806,2.48490665,12.28939765,8.380227336,1.098612289,2.890371758,4.49980967,2.890371758,4.836281907,0,1.098612289,0,3.737669618,6.946013991,1.098612289,0,1.098612289,1.098612289,0.6931471806,0.6931471806,1.098612289,5.093750201,5.883322388,7.920083199,2.302585093,3.737669618,0,0,1.098612289,2.772588722,8.02059915,3.465735903,0.6931471806,3.713572067,1.386294361,6.091309882,1.945910149,0,3.713572067,10.25537606,1.945910149,7.639161172,4.691347882,2.197224577,2.890371758,6.632001777,6.829793738,7.833996342,3.761200116,9.504054217,0,10.98757824,0,1.609437912,8.686598356,6.573680167,10.09608942,3.761200116,1.791759469,6.144185634,4.564348191,2.302585093,0.6931471806,0,0,3.526360525,0,0,5.135798437,0
COVIRL-201-033,1.098612289,0,0,0,0,2.079441542,3.63758616,0,4.094344562,1.098612289,3.33220451,0,2.995732274,0,0,5.730099783,1.945910149,1.945910149,3.610917913,1.386294361,4.007333185,0,7.59739632,3.091042453,0,0,4.574710979,0,7.114769448,0,0,0.6931471806,0,0,0,0,2.944438979,0,4.574710979,0,0,0,7.806696373,2.48490665,1.098612289,1.098612289,2.995732274,0,0,0,3.295836866,0,0.6931471806,1.098612289,7.025538315,0,3.258096538,0,7.522940918,0.6931471806,3.091042453,10.2048876,9.402199633,3.258096538,0.6931471806,0,0,1.609437912,2.302585093,3.828641396,4.143134726,0,1.098612289,0,0,0,0,0,2.079441542,0,0,2.944438979,0,2.079441542,0,0,1.098612289,0,1.098612289,0,2.302585093,1.945910149,9.495820021,0,2.302585093,0.6931471806,0,0,3.17805383,0,0,0,0,0.6931471806,1.386294361,0,0,0,0,0,0,0,2.995732274,0,0.6931471806,0,8.688116703,0,0,0,2.48490665,0,0,0,0,10.1563064,0,0,0,0,0,2.890371758,1.791759469,0,0.6931471806,7.491087594,0.6931471806,1.386294361,0,0,0,0.6931471806,0.6931471806,1.386294361,2.944438979,4.394449155,0,0,0,0,0,0,0.6931471806,0,1.791759469,0.6931471806,0,2.772588722,0,0,0,0,0,1.945910149,0,1.945910149,0,0,0,0.6931471806,3.891820298,6.061456919,0,0,1.386294361,5.017279837,0,0,0.6931471806,0.6931471806,4.077537444,0,0,0,2.564949357,1.386294361,0,2.772588722,1.386294361,2.397895273,0,1.945910149,1.609437912,1.386294361,0,0,0,0,1.098612289,1.609437912,1.098612289,0,0,0.6931471806,4.682131227,1.945910149,0,5.513428746,1.945910149,1.386294361,0,2.995732274,0,1.791759469,0,0,0,3.258096538,0,0,0,0,7.063903961,0,1.791759469,0.6931471806,0,0.6931471806,6.306275287,0,0,0,0,0,0,2.890371758,1.098612289,0,0,1.791759469,0,2.302585093,0,0,5.225746674,0,0.6931471806,0,0,2.772588722,0,0,3.135494216,0,0,0.6931471806,2.302585093,2.48490665,6.476972363,1.098612289,0,2.48490665,0,0,0,1.945910149,0,0,0,0.6931471806,0.6931471806,2.833213344,0,0,0
AIIDM0021,2.48490665,0,0,0,2.079441542,5.953243334,0,0.6931471806,0,2.772588722,0,2.302585093,5.463831805,5.111987788,1.098612289,5.549076085,1.609437912,0,3.970291914,0,2.197224577,0,0,7.105786129,0.6931471806,0,5.568344504,3.218875825,4.709530201,0,0,0,0,0,0,2.833213344,0,0,0,0,0,3.218875825,0,6.226536669,0,0,3.496507561,0,0,0,4.795790546,0,4.465908119,1.791759469,5.062595033,0,2.890371758,0,4.418840608,2.708050201,0,0,5.910796644,6.770789424,1.945910149,0.6931471806,0,5.730099783,1.386294361,5.463831805,4.382026635,0,4.454347296,3.688879454,1.386294361,0.6931471806,0.6931471806,0,5.736572297,0,0,0,0.6931471806,5.575949103,0,0.6931471806,0,0,4.700480366,1.098612289,0,0,7.791109511,0,1.098612289,0,0,0,0,0.6931471806,0,0,1.098612289,1.791759469,0.6931471806,0,0,0,0,0,0,4.477336814,4.110873864,0,4.852030264,0,4.744932128,0,0,0.6931471806,5.030437921,1.098612289,0,0,0,6.444131257,0,0,0,0,0,0,1.791759469,0,0,2.302585093,2.944438979,0.6931471806,0,0,0,6.452048954,0,0,6.495265556,0.6931471806,0,3.17805383,1.945910149,3.433987204,0,0,0,0,6.040254711,3.33220451,0,5.225746674,0,0,0,4.369447852,1.098612289,1.791759469,0.6931471806,5.18178355,2.397895273,0,0,0,2.772588722,0,0,0,0,0,0,6.495265556,1.386294361,0,0,0,0.6931471806,1.098612289,0,3.36729583,0,0,2.397895273,0.6931471806,0,0,0,0.6931471806,2.397895273,0,2.397895273,0,0,4.394449155,0,1.098612289,0,5.509388337,0,0.6931471806,0,8.330863613,4.624972813,0,0.6931471806,0,0,5.214935758,0,1.609437912,0,6.510258341,2.48490665,0,0,4.025351691,0,2.944438979,3.713572067,2.772588722,0,2.197224577,0,0,0.6931471806,1.791759469,0,2.890371758,4.812184355,6.163314804,5.393627546,4.290459441,2.890371758,0,4.941642423,1.098612289,1.791759469,0,0,2.197224577,5.123963979,0,0,6.02827852,0,4.077537444,6.368187186,0,3.433987204,4.127134385,5.347107531,3.688879454,2.48490665,4.521788577,0,3.044522438,1.791759469,0,0,1.791759469,0,3.258096538,3.63758616,0,0.6931471806,0,0,0,0
AIIDV0063,0,0,0,0,1.098612289,0,0,0,0,3.33220451,0,0,5.762051383,0,1.098612289,6.248042875,0,0,8.504107952,0,3.091042453,0,0,6.586171655,0,0.6931471806,4.941642423,6.508769137,5.937536205,0,0,1.098612289,3.044522438,0,0,3.135494216,0,2.772588722,0,0,1.386294361,0,1.609437912,5.303304908,0,0,6.601230119,0,0,2.944438979,0.6931471806,1.609437912,5.84932478,1.791759469,0,0,5.075173815,0,0,0,0,1.098612289,5.676753802,0.6931471806,2.197224577,0,0.6931471806,2.197224577,0,6.598509029,4.543294782,1.791759469,5.886104031,0,0.6931471806,0.6931471806,0,0,0,0,1.609437912,0.6931471806,0.6931471806,6.23636959,0,0,0,0,6.755768922,5.247024072,0,5.476463552,4.094344562,1.791759469,0,0,0.6931471806,2.995732274,0,0.6931471806,1.386294361,0,0,0.6931471806,6.867974409,0,0,0,0,0,4.976733742,0,6.335054251,0,0,0.6931471806,5.010635294,0,0,0,7.457032089,1.098612289,0,0,0,6.608000625,0,5.789960171,0,0,0,0,0,0,4.369447852,0,2.995732274,0,0,0,0,0,3.63758616,0.6931471806,7.436027816,0,0,4.624972813,2.564949357,0,0,2.397895273,0,0,6.555356892,0,1.098612289,4.820281566,0.6931471806,0,0.6931471806,0,0,0,2.48490665,5.187385806,2.772588722,4.043051268,0,2.833213344,0,0,0.6931471806,0.6931471806,0,3.465735903,0,0,1.386294361,0,0,0,0,3.218875825,0,0,0.6931471806,0,2.63905733,3.401197382,0,0,0,6.523562306,6.03787092,0,0,2.079441542,0,1.945910149,7.29301768,0,0.6931471806,5.752572639,0,0,0,5.484796933,0,0,0,2.63905733,0,6.186208624,0,0.6931471806,0,0.6931471806,1.791759469,3.091042453,0,0,4.219507705,2.079441542,0,0,0,2.197224577,1.098612289,0,0,0,0,0.6931471806,1.386294361,6.317164687,1.945910149,0,4.682131227,0,1.386294361,0,0.6931471806,0,0,2.63905733,3.761200116,0.6931471806,0,0,0,6.194405391,3.258096538,0,4.304065093,0,5.627621114,1.098612289,2.079441542,2.564949357,4.543294782,6.498282149,3.091042453,1.609437912,0.6931471806,1.098612289,0,0,0,0,0,0,0,0,0
AIIDM0024,0,0,0,0,0,0,0,3.218875825,1.609437912,0,0,0,0,0.6931471806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.386294361,0,0,1.098612289,0,0,0,0,0,0,0,0.6931471806,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098612289,0,0.6931471806,6.677083461,0,1.791759469,2.302585093,0,0,0,0,0.6931471806,5.966146739,0,0,0,0,1.098612289,0,0,0,0,0,0,0,0,2.48490665,0,0,0,0,0,0,0,2.48490665,0,0,0,0,0,1.098612289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.386294361,0,0,0,0,0,0,1.098612289,0,0,0,0,3.044522438,0,0,0,0,0,0,0.6931471806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471806,0,0,0,0,0,0,0,0,0,0,0,0,1.098612289,0,0,0,0.6931471806,3.828641396,0,0,0,0,0,0,0,0,1.098612289,0,0,0,0,0,2.302585093,0.6931471806,0,0,0,0,1.945910149,0,0,0,0,0,0,0,1.098612289,0,0,0.6931471806,0,0,0,3.218875825,0,0,0,1.098612289,0,0,0,0,0,1.386294361,0,0,0,0,4.248495242,0,0,0,0,0,1.386294361,0,0,0,0,0,0,0,0,0,0,0,0,0,1.791759469,0,0,0,0,0,0,0,0,0,0.6931471806,0,0,0,0,3.36729583,0,0,0,0.6931471806,0,0,0,0,0,0,0,0,0,0,0,0,0
